OBJECTID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,Pop25P_e,Pop25P_m,NoHS_e,NoHS_m,pNoHS_e,pNoHS_m,SomeHS_e,SomeHS_m,pSomeHS_e,pSomeHS_m,HSGrad_e,HSGrad_m,pHSGrad_e,pHSGrad_m,SomeColl_e,SomeColl_m,pSomeColl_e,pSomeColl_m,Associates_e,Associates_m,pAssociates_e,pAssociates_m,BA_e,BA_m,pBA_e,pBA_m,GradProf_e,GradProf_m,pGradProf_e,pGradProf_m,LtHS_e,LtHS_m,pLtHS_e,pLtHS_m,HSPlus_e,HSPlus_m,pHSPlus_e,pHSPlus_m,BAPlus_e,BAPlus_m,pBAPlus_e,pBAPlus_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
175,30165,No,Northwest Georgia,3248,ZCTA,ZCTA5 30165,26654,704,2535,416,9.5,1.5,2749,455,10.3,1.7,8091,592,30.4,2.1,5539,544,20.8,2,2018,291,7.6,1.1,3389,422,12.7,1.5,2333,345,8.8,1.3,5284,616,19.8,2.3,21370,1014,80.2,3.2,5722,545,21.5,2,,,,,2.11234464063801,0.0431566135375694
176,31905,No,River Valley,3850,ZCTA,ZCTA5 31905,7152,378,72,52,1,0.7,117,61,1.6,0.8,1431,206,20,2.7,2269,255,31.7,3.2,826,142,11.5,1.9,1909,217,26.7,2.7,528,106,7.4,1.4,189,80,2.6,1.1,6963,431,97.4,3.1,2437,242,34.1,2.9,,,,,1.13028985604284,0.00968944416712556
177,31211,No,Middle Georgia,3655,ZCTA,ZCTA5 31211,10379,712,491,202,4.7,1.9,927,245,8.9,2.3,4099,500,39.5,4,1985,327,19.1,2.9,683,214,6.6,2,1223,284,11.8,2.6,971,228,9.4,2.1,1418,317,13.7,2.9,8961,731,86.3,3.8,2194,364,21.1,3.2,,,,,0.808930991246557,0.0123390988311811
178,31213,No,Middle Georgia,3656,ZCTA,ZCTA5 31213,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,,,,,0.00643369949341418,2.50832887851461e-06
179,31216,No,Middle Georgia,3657,ZCTA,ZCTA5 31216,11857,547,338,119,2.9,1,1390,288,11.7,2.4,4064,478,34.3,3.7,2947,387,24.9,3.1,830,188,7,1.6,1411,266,11.9,2.2,877,182,7.4,1.5,1728,312,14.6,2.5,10129,720,85.4,4.6,2288,323,19.3,2.6,,,,,0.844987917498532,0.0138509055065616
180,31217,No,Middle Georgia,3658,ZCTA,ZCTA5 31217,11191,769,671,165,6,1.4,1733,262,15.5,2.1,4804,433,42.9,2.5,2372,353,21.2,2.8,647,205,5.8,1.8,661,185,5.9,1.6,303,122,2.7,1.1,2404,309,21.5,2.3,8787,635,78.5,1.8,964,221,8.6,1.9,,,,,1.61204656634846,0.0249080383352198
181,31220,No,Middle Georgia,3659,ZCTA,ZCTA5 31220,9647,555,281,152,2.9,1.6,591,182,6.1,1.8,2798,372,29,3.5,2080,326,21.6,3.1,808,228,8.4,2.3,1907,322,19.8,3.1,1182,240,12.3,2.4,872,237,9,2.4,8775,677,91,4.7,3089,402,32,3.7,,,,,0.788847903175055,0.0125063907398316
182,31301,No,Coastal Regional Commission,3660,ZCTA,ZCTA5 31301,2386,361,23,48,1,2,108,74,4.5,3,905,183,37.9,5.1,733,214,30.7,7.7,217,109,9.1,4.3,292,115,12.2,4.4,108,57,4.5,2.3,131,88,5.5,3.6,2255,328,94.5,19.8,400,128,16.8,4.7,,,,,0.435843946809033,0.00293320466422062
183,31302,No,Coastal Regional Commission,3661,ZCTA,ZCTA5 31302,5824,453,161,86,2.8,1.5,800,188,13.7,3.1,2472,315,42.4,4.3,1164,211,20,3.3,349,136,6,2.3,636,172,10.9,2.8,242,95,4.2,1.6,961,207,16.5,3.3,4863,448,83.5,4.1,878,196,15.1,3.2,,,,,0.85154448799963,0.0112280113040985
184,31303,No,Coastal Regional Commission,3662,ZCTA,ZCTA5 31303,1647,300,66,44,4,2.6,303,140,18.4,7.8,581,127,35.3,4.2,355,123,21.6,6.3,140,90,8.5,5.3,103,67,6.3,3.9,99,58,6,3.4,369,147,22.4,7.9,1278,217,77.6,19.3,202,89,12.3,4.9,,,,,0.938051347634407,0.0206264549143811
185,31304,No,Coastal Regional Commission,3663,ZCTA,ZCTA5 31304,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,,,,,0.152643785689661,0.000652561367612487
186,30663,No,Northeast Georgia,3495,ZCTA,ZCTA5 30663,2034,216,124,59,6.1,2.8,304,103,14.9,4.8,745,122,36.6,4.6,368,93,18.1,4.1,134,45,6.6,2.1,254,72,12.5,3.3,105,55,5.2,2.6,428,118,21,5.4,1606,184,79,3.4,359,90,17.6,4,,,,,0.984237868748298,0.0141330152774533
187,31305,No,Coastal Regional Commission,3664,ZCTA,ZCTA5 31305,4801,537,199,126,4.1,2.6,615,228,12.8,4.5,1984,352,41.3,5.7,1119,269,23.3,4.9,468,174,9.7,3.5,238,99,5,2,178,110,3.7,2.3,814,260,17,5.1,3987,498,83,4.6,416,148,8.7,2.9,,,,,1.11407042530256,0.0113451111644997
188,30726,No,Northwest Georgia,3516,ZCTA,ZCTA5 30726,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,,,,,0.0443349133580034,3.36588067854543e-05
189,31307,No,Coastal Regional Commission,3665,ZCTA,ZCTA5 31307,709,332,72,83,10.2,10.7,273,191,38.5,20.1,162,100,22.8,9.1,68,68,9.6,8.4,10,21,1.4,2.9,57,58,8,7.3,67,72,9.4,9.2,345,209,48.7,18.6,364,154,51.3,32.4,124,93,17.5,10.2,,,,,0.204746521192139,0.000983104681746986
190,30728,No,Northwest Georgia,3517,ZCTA,ZCTA5 30728,14367,671,731,184,5.1,1.3,1907,326,13.3,2.2,5629,507,39.2,3,3016,386,21,2.5,1220,307,8.5,2.1,1193,300,8.3,2.1,671,212,4.7,1.5,2638,375,18.4,2.5,11729,797,81.6,4,1864,367,13,2.5,,,,,1.76105372568209,0.0443146556553713
191,30730,No,Northwest Georgia,3518,ZCTA,ZCTA5 30730,1280,177,137,66,10.7,5,223,74,17.4,5.2,444,94,34.7,5.6,310,81,24.2,5.4,33,35,2.6,2.7,109,46,8.5,3.4,24,31,1.9,2.4,360,99,28.1,6.7,920,141,71.9,4.7,133,55,10.4,4.1,,,,,0.634240204752651,0.0140600569763868
192,31308,No,Coastal Regional Commission,3666,ZCTA,ZCTA5 31308,4959,431,319,124,6.4,2.4,609,207,12.3,4,2003,288,40.4,4.6,974,203,19.6,3.7,514,174,10.4,3.4,289,111,5.8,2.2,251,102,5.1,2,928,241,18.7,4.6,4031,421,81.3,4.7,540,151,10.9,2.9,,,,,1.16251309282394,0.0215014882609404
193,30731,No,Northwest Georgia,3519,ZCTA,ZCTA5 30731,1641,194,112,66,6.8,4,149,55,9.1,3.2,694,122,42.3,5.5,373,115,22.7,6.5,103,51,6.3,3,107,56,6.5,3.3,103,56,6.3,3.3,261,86,15.9,4.9,1380,193,84.1,6.2,210,79,12.8,4.6,,,,,1.13521965960724,0.0220959097239874
194,31309,No,Coastal Regional Commission,3667,ZCTA,ZCTA5 31309,437,131,8,37,1.8,8.4,25,36,5.7,8.1,207,81,47.4,12,110,53,25.2,9.4,27,31,6.2,6.8,60,33,13.7,6.4,0,32,0,7.3,33,52,7.6,11.6,404,112,92.4,37.7,60,46,13.7,9.7,,,,,0.410338131056446,0.00643747263387908
195,30733,No,Northwest Georgia,3520,ZCTA,ZCTA5 30733,1385,280,217,118,15.7,7.9,289,129,20.9,8.3,422,120,30.5,6.1,363,115,26.2,6.4,55,32,4,2.2,21,17,1.5,1.2,18,30,1.3,2.1,506,175,36.5,10.2,879,173,63.5,17.9,39,34,2.8,2.4,,,,,0.350061470773564,0.00392011605443604
196,30734,No,Northwest Georgia,3521,ZCTA,ZCTA5 30734,2638,474,157,96,6,3.5,464,189,17.6,6.4,1016,241,38.5,6,510,173,19.3,5.6,108,69,4.1,2.5,277,132,10.5,4.6,106,76,4,2.8,621,212,23.5,6.8,2017,341,76.5,18.9,383,152,14.5,5.1,,,,,1.0683389849625,0.0194725018155871
197,30735,No,Northwest Georgia,3522,ZCTA,ZCTA5 30735,3998,664,406,159,10.2,3.6,519,157,13,3.3,1864,370,46.6,5.1,691,223,17.3,4.8,251,116,6.3,2.7,119,72,3,1.7,148,107,3.7,2.6,925,223,23.1,4.1,3073,465,76.9,17.3,267,129,6.7,3,,,,,1.10181254069598,0.0159964791907316
198,30736,No,Northwest Georgia,3523,ZCTA,ZCTA5 30736,29123,730,611,185,2.1,0.6,2784,409,9.6,1.4,8473,593,29.1,1.9,6879,576,23.6,1.9,3403,448,11.7,1.5,4710,482,16.2,1.6,2263,320,7.8,1.1,3395,448,11.7,1.5,25728,1104,88.3,3.1,6973,579,23.9,1.9,,,,,1.2298429748372,0.0329034619860505
199,30738,No,Northwest Georgia,3524,ZCTA,ZCTA5 30738,2655,310,175,95,6.6,3.5,344,94,13,3.2,987,179,37.2,5.1,423,109,15.9,3.7,264,100,9.9,3.6,339,103,12.8,3.6,123,52,4.6,1.9,519,134,19.5,4.5,2136,259,80.5,2.7,462,115,17.4,3.8,,,,,1.22624728844334,0.0219815051478925
200,30739,No,Northwest Georgia,3525,ZCTA,ZCTA5 30739,4240,457,106,76,2.5,1.8,363,111,8.6,2.4,1252,254,29.5,5.1,1109,261,26.2,5.5,430,162,10.1,3.7,563,159,13.3,3.5,417,145,9.8,3.3,469,134,11.1,2.9,3771,453,88.9,4.7,980,215,23.1,4.4,,,,,0.66246303332333,0.00641268059323246
201,30740,No,Northwest Georgia,3526,ZCTA,ZCTA5 30740,5889,561,302,114,5.1,1.9,650,217,11,3.5,1789,308,30.4,4.4,1588,279,27,4,415,146,7,2.4,764,175,13,2.7,381,156,6.5,2.6,952,245,16.2,3.9,4937,499,83.8,2.8,1145,234,19.4,3.5,,,,,0.695651441924841,0.0129880116178554
202,30741,No,Northwest Georgia,3527,ZCTA,ZCTA5 30741,20407,950,1144,317,5.6,1.5,3318,514,16.3,2.4,7989,707,39.1,2.9,4509,513,22.1,2.3,1264,228,6.2,1.1,1574,298,7.7,1.4,609,177,3,0.9,4462,604,21.9,2.8,15945,967,78.1,3,2183,346,10.7,1.6,,,,,0.695983535729554,0.00637199752722858
203,30742,No,Northwest Georgia,3528,ZCTA,ZCTA5 30742,5081,394,147,73,2.9,1.4,448,166,8.8,3.2,1964,345,38.7,6.1,1244,272,24.5,5,599,205,11.8,3.9,436,161,8.6,3.1,243,129,4.8,2.5,595,181,11.7,3.4,4486,527,88.3,7.8,679,206,13.4,3.9,,,,,0.246364607843801,0.000856110412321891
204,30746,No,Northwest Georgia,3529,ZCTA,ZCTA5 30746,847,251,12,40,1.4,4.7,296,171,34.9,17.3,304,125,35.9,10.3,90,68,10.6,7.3,95,69,11.2,7.5,24,41,2.8,4.8,26,50,3.1,5.9,308,175,36.4,17.7,539,171,63.6,7.2,50,65,5.9,7.5,,,,,0.393796086664572,0.00424803885360491
205,30747,No,Northwest Georgia,3530,ZCTA,ZCTA5 30747,11312,318,1066,205,9.4,1.8,1828,246,16.2,2.1,4385,387,38.8,3.2,1832,259,16.2,2.2,891,201,7.9,1.8,763,166,6.7,1.5,547,137,4.8,1.2,2894,321,25.6,2.7,8418,552,74.4,4.4,1310,215,11.6,1.9,,,,,1.88215558718894,0.0465832891320938
206,30750,No,Northwest Georgia,3531,ZCTA,ZCTA5 30750,2503,285,105,63,4.2,2.5,148,93,5.9,3.7,444,126,17.7,4.6,353,116,14.1,4.3,175,84,7,3.3,796,97,31.8,1.4,482,78,19.3,2.2,253,112,10.1,4.3,2250,228,89.9,13.7,1278,124,51.1,7.6,,,,,0.40695765582509,0.0033719267472901
207,30751,No,Northwest Georgia,3532,ZCTA,ZCTA5 30751,52,56,0,37,0,70.7,17,45,32.7,79,6,16,11.5,29,18,27,34.6,36.6,11,23,21.2,38,0,18,0,35.4,0,32,0,61.2,17,58,32.7,106,35,54,67.3,73.7,0,37,0,70.7,,,,,0.0766776092956418,0.000145337807455556
208,30752,No,Northwest Georgia,3533,ZCTA,ZCTA5 30752,6166,312,463,126,7.5,2,923,192,15,3,2212,252,35.9,3.7,1328,222,21.5,3.4,591,139,9.6,2.2,400,123,6.5,2,249,105,4,1.7,1386,229,22.5,3.5,4780,398,77.5,5.1,649,162,10.5,2.6,,,,,0.791192174079166,0.0199247889174629
209,30753,No,Northwest Georgia,3534,ZCTA,ZCTA5 30753,4710,401,537,140,11.4,2.8,847,219,18,4.4,1794,301,38.1,5.5,1020,206,21.7,4,195,103,4.1,2.2,153,66,3.2,1.4,164,68,3.5,1.4,1384,260,29.4,4.9,3326,391,70.6,5.7,317,94,6.7,1.9,,,,,0.728980025892582,0.0104254538265252
210,30755,No,Northwest Georgia,3535,ZCTA,ZCTA5 30755,6104,672,377,139,6.2,2.2,967,209,15.8,2.9,2183,324,35.8,3.6,1467,289,24,3.9,329,133,5.4,2.1,469,143,7.7,2.2,312,110,5.1,1.7,1344,251,22,3.3,4760,489,78,11.7,781,180,12.8,2.6,,,,,0.613743491914641,0.0091075269029558
211,30756,No,Northwest Georgia,3536,ZCTA,ZCTA5 30756,46,56,0,37,0,79.9,41,49,89.1,152.3,5,15,10.9,30.4,0,26,0,56.5,0,18,0,40,0,18,0,40,0,32,0,69.2,41,61,89.1,77.7,5,51,10.9,110,0,37,0,79.9,,,,,0.0556974199831085,3.45393232544302e-05
212,30757,No,Northwest Georgia,3537,ZCTA,ZCTA5 30757,1782,313,139,103,7.8,5.6,300,164,16.8,8.7,466,167,26.2,8.1,376,189,21.1,9.9,179,101,10,5.4,265,160,14.9,8.6,57,61,3.2,3.4,439,194,24.6,10,1343,321,75.4,12.2,322,171,18.1,9.1,,,,,0.495394990113525,0.00438975771880717
213,30802,No,Central Savannah River Area,3538,ZCTA,ZCTA5 30802,3966,618,165,107,4.2,2.6,371,196,9.4,4.7,1645,360,41.5,6.4,693,157,17.5,2.9,240,99,6.1,2.3,631,185,15.9,3.9,221,85,5.6,1.9,536,223,13.5,5.2,3430,453,86.5,17.7,852,203,21.5,3.9,,,,,1.1860562341584,0.0372132435673637
214,30803,No,Central Savannah River Area,3539,ZCTA,ZCTA5 30803,699,139,15,34,2.1,4.8,116,57,16.6,7.4,361,93,51.6,8.5,140,41,20,4.3,36,19,5.2,2.6,18,13,2.6,1.8,13,30,1.9,4.2,131,66,18.7,8.7,568,109,81.3,22.4,31,32,4.4,4.5,,,,,0.82805638165501,0.0138552176862763
215,30805,No,Central Savannah River Area,3540,ZCTA,ZCTA5 30805,1713,238,166,78,9.7,4.3,258,98,15.1,5.3,679,151,39.6,6.9,347,104,20.3,5.4,105,55,6.1,3.1,125,59,7.3,3.3,33,28,1.9,1.6,424,125,24.8,6.4,1289,202,75.2,5.5,158,65,9.2,3.6,,,,,0.960878624142498,0.00888551620315094
216,30294,Yes,Atlanta Regional Commission,3316,ZCTA,ZCTA5 30294,27350,1291,755,235,2.8,0.8,2019,390,7.4,1.4,7527,801,27.5,2.6,7190,711,26.3,2.3,2454,496,9,1.8,4830,577,17.7,1.9,2575,476,9.4,1.7,2774,456,10.1,1.6,24576,1398,89.9,2.8,7405,749,27.1,2.4,,,,,0.867119344865509,0.00821639193074535
217,30295,No,Three Rivers,3317,ZCTA,ZCTA5 30295,2850,388,107,80,3.8,2.8,198,92,6.9,3.1,1386,296,48.6,8,512,129,18,3.8,279,101,9.8,3.3,191,76,6.7,2.5,177,79,6.2,2.6,305,122,10.7,4,2545,355,89.3,2.8,368,110,12.9,3.4,,,,,0.747894339790017,0.0111286641475766
218,30296,Yes,Atlanta Regional Commission,3318,ZCTA,ZCTA5 30296,17451,940,973,230,5.6,1.3,1183,282,6.8,1.6,5716,632,32.8,3.2,3887,511,22.3,2.7,1857,306,10.6,1.7,2574,411,14.7,2.2,1261,249,7.2,1.4,2156,364,12.4,2,15295,992,87.6,3.2,3835,481,22,2.5,,,,,0.363015662719762,0.00267426577567971
219,39866,No,Southwest Georgia,3877,ZCTA,ZCTA5 39866,2044,162,139,64,6.8,3.1,435,91,21.3,4.1,969,122,47.4,4.6,332,86,16.2,4,85,36,4.2,1.7,48,25,2.3,1.2,36,30,1.8,1.5,574,111,28.1,5,1470,159,71.9,5.3,84,40,4.1,1.9,,,,,0.907555715765943,0.0139849736449794
220,30297,Yes,Atlanta Regional Commission,3319,ZCTA,ZCTA5 30297,16792,812,2672,425,15.9,2.4,2510,353,14.9,2,5717,611,34,3.2,3384,445,20.2,2.5,910,219,5.4,1.3,1369,321,8.2,1.9,230,116,1.4,0.7,5182,553,30.9,2.9,11610,857,69.1,3.9,1599,341,9.5,2,,,,,0.389597307723212,0.00277675461523028
221,39867,No,River Valley,3878,ZCTA,ZCTA5 39867,396,164,37,60,9.3,14.7,30,52,7.6,12.7,148,96,37.4,18.7,98,61,24.7,11.6,44,39,11.1,8.8,28,48,7.1,11.7,11,33,2.8,8.3,67,79,16.9,18.8,329,134,83.1,48.3,39,58,9.8,14.1,,,,,1.3166766089094,0.0215101532853015
222,30303,Yes,Atlanta Regional Commission,3320,ZCTA,ZCTA5 30303,2805,442,51,59,1.8,2.1,518,147,18.5,4.3,739,191,26.3,5.4,610,175,21.7,5.2,200,102,7.1,3.5,484,124,17.3,3.5,203,84,7.2,2.8,569,158,20.3,4.6,2236,316,79.7,16.9,687,149,24.5,3.7,,,,,0.11144421545236,0.000263003646646765
223,30305,Yes,Atlanta Regional Commission,3321,ZCTA,ZCTA5 30305,17796,748,250,146,1.4,0.8,216,94,1.2,0.5,1226,291,6.9,1.6,1646,281,9.2,1.5,458,177,2.6,1,8085,569,45.4,2.6,5915,503,33.2,2.5,466,173,2.6,1,17330,878,97.4,2.8,14000,759,78.7,2.7,,,,,0.257421959588469,0.00163108248217023
224,30306,Yes,Atlanta Regional Commission,3322,ZCTA,ZCTA5 30306,17332,731,95,79,0.5,0.5,234,127,1.4,0.7,1261,281,7.3,1.6,1339,251,7.7,1.4,606,167,3.5,1,7040,515,40.6,2.4,6757,498,39,2.4,329,150,1.9,0.9,17003,827,98.1,2.4,13797,716,79.6,2.4,,,,,0.204810412043956,0.00110569752313064
225,39870,No,Southwest Georgia,3879,ZCTA,ZCTA5 39870,1442,118,102,47,7.1,3.2,316,122,21.9,8.3,524,109,36.3,7,236,74,16.4,5,154,56,10.7,3.8,29,22,2,1.5,81,48,5.6,3.3,418,131,29,8.8,1024,153,71,8.8,110,52,7.6,3.6,,,,,1.59343986069283,0.0464932492269737
226,30530,No,GM / NE,3424,ZCTA,ZCTA5 30530,4292,536,274,106,6.4,2.3,764,212,17.8,4.4,1851,261,43.1,2.8,788,178,18.4,3.5,198,79,4.6,1.7,188,79,4.4,1.7,229,87,5.3,1.9,1038,237,24.2,4.6,3254,346,75.8,12.4,417,118,9.7,2.5,,,,,1.08301296523797,0.0200137000003818
227,30307,Yes,Atlanta Regional Commission,3323,ZCTA,ZCTA5 30307,14855,568,157,73,1.1,0.5,194,87,1.3,0.6,1223,268,8.2,1.8,2079,320,14,2.1,317,96,2.1,0.6,5378,369,36.2,2.1,5507,374,37.1,2.1,351,113,2.4,0.8,14504,677,97.6,2.6,10885,525,73.3,2.2,,,,,0.279496465863105,0.00115196942796036
228,39877,No,RV / SW,3880,ZCTA,ZCTA5 39877,249,72,23,32,9.2,12.4,38,36,15.3,13.9,100,40,40.2,11.3,45,22,18.1,7,11,9,4.4,3.2,26,20,10.4,7.6,6,23,2.4,9.4,61,48,24.5,18,188,56,75.5,5.4,32,31,12.9,11.9,,,,,0.77778074214711,0.0101613121158059
229,30531,Partial,Georgia Mountains,3425,ZCTA,ZCTA5 30531,6628,491,1033,252,15.6,3.6,734,212,11.1,3.1,2195,367,33.1,5,1247,237,18.8,3.3,435,152,6.6,2.2,531,146,8,2.1,453,127,6.8,1.9,1767,329,26.7,4.6,4861,502,73.3,5.3,984,194,14.8,2.7,,,,,0.836794531853571,0.00983413777574564
230,30308,Yes,Atlanta Regional Commission,3324,ZCTA,ZCTA5 30308,14370,775,113,90,0.8,0.6,692,229,4.8,1.6,1251,332,8.7,2.3,1831,363,12.7,2.4,682,260,4.7,1.8,4742,502,33,3,5059,555,35.2,3.4,805,246,5.6,1.7,13565,932,94.4,4,9801,748,68.2,3.7,,,,,0.127978759896048,0.000401959606737856
231,39885,No,Southwest Georgia,3881,ZCTA,ZCTA5 39885,47,20,3,35,6.4,73.9,4,35,8.5,74.2,7,8,14.9,15.4,15,18,31.9,36,7,8,14.9,14.9,6,15,12.8,30.9,5,29,10.6,62.6,7,49,14.9,104.6,40,39,85.1,75.1,11,33,23.4,69.5,,,,,0.0433909631894513,7.32334551143999e-05
232,30533,Partial,Georgia Mountains,3426,ZCTA,ZCTA5 30533,16497,612,1035,296,6.3,1.8,1439,327,8.7,2,4728,550,28.7,3.2,3679,515,22.3,3,817,220,5,1.3,2646,447,16,2.6,2153,357,13.1,2.1,2474,441,15,2.6,14023,971,85,5,4799,572,29.1,3.3,,,,,1.54024885335078,0.0559842182343372
233,30309,Yes,Atlanta Regional Commission,3325,ZCTA,ZCTA5 30309,18544,1019,97,75,0.5,0.4,267,125,1.4,0.7,1188,281,6.4,1.5,1993,353,10.7,1.8,1003,267,5.4,1.4,6824,632,36.8,2.7,7172,662,38.7,2.9,364,146,2,0.8,18180,1055,98,1.8,13996,915,75.5,2.7,,,,,0.190999250070473,0.000871039449016405
234,30002,Yes,Atlanta Regional Commission,3149,ZCTA,ZCTA5 30002,4147,280,56,63,1.4,1.5,78,60,1.9,1.4,609,153,14.7,3.6,884,170,21.3,3.8,189,80,4.6,1.9,1156,165,27.9,3.5,1175,168,28.3,3.6,134,87,3.2,2.1,4013,338,96.8,4.9,2331,235,56.2,4.2,,,,,0.166664373856407,0.000429655889631646
235,39886,No,RV / SW,3882,ZCTA,ZCTA5 39886,1130,185,96,57,8.5,4.8,143,55,12.7,4.4,418,106,37,7.2,274,77,24.2,5.5,72,43,6.4,3.6,102,50,9,4.2,25,28,2.2,2.4,239,79,21.2,6.1,891,149,78.8,2.9,127,57,11.2,4.7,,,,,1.38820919984757,0.0304921665624265
236,30534,Partial,ARC / GM / NW,3427,ZCTA,ZCTA5 30534,20006,612,994,273,5,1.4,2185,369,10.9,1.8,5798,550,29,2.6,3952,420,19.8,2,1538,280,7.7,1.4,3596,425,18,2.1,1943,342,9.7,1.7,3179,459,15.9,2.2,16827,924,84.1,3.8,5539,545,27.7,2.6,,,,,2.03200324098394,0.0593371533147432
237,30310,Yes,Atlanta Regional Commission,3326,ZCTA,ZCTA5 30310,19956,860,1021,217,5.1,1.1,3235,393,16.2,1.8,6379,658,32,3,4243,444,21.3,2,1406,226,7,1.1,2353,327,11.8,1.6,1319,206,6.6,1,4256,449,21.3,2.1,15700,911,78.7,3.1,3672,386,18.4,1.8,,,,,0.316329655710007,0.00222415865990271
238,30004,Yes,ARC / GM,3150,ZCTA,ZCTA5 30004,41142,1171,1153,380,2.8,0.9,584,192,1.4,0.5,5015,637,12.2,1.5,6454,608,15.7,1.4,2543,410,6.2,1,15526,937,37.7,2,9867,830,24,1.9,1737,426,4.2,1,39405,1585,95.8,2.7,25393,1252,61.7,2.5,,,,,1.06376386387621,0.0147141286538551
239,30535,No,Georgia Mountains,3428,ZCTA,ZCTA5 30535,5159,501,466,205,9,3.9,638,206,12.4,3.8,1777,293,34.4,4.6,997,175,19.3,2.8,315,102,6.1,1.9,526,127,10.2,2.2,440,115,8.5,2.1,1104,290,21.4,5.2,4055,395,78.6,0.6,966,171,18.7,2.8,,,,,0.537995991896593,0.00750651653055286
240,30311,Yes,Atlanta Regional Commission,3327,ZCTA,ZCTA5 30311,24056,1290,891,248,3.7,1,2744,431,11.4,1.7,8422,817,35,2.8,5689,778,23.6,3,1488,296,6.2,1.2,2807,428,11.7,1.7,2015,337,8.4,1.3,3635,497,15.1,1.9,20421,1288,84.9,2.8,4822,545,20,2,,,,,0.310940472255489,0.00314076592886506
241,30005,Yes,ARC / GM,3151,ZCTA,ZCTA5 30005,25795,939,513,207,2,0.8,611,188,2.4,0.7,2398,454,9.3,1.7,2849,388,11,1.5,1505,312,5.8,1.2,10480,674,40.6,2.2,7439,628,28.8,2.2,1124,280,4.4,1.1,24671,1141,95.6,2.7,17919,921,69.5,2.5,,,,,0.478016052405592,0.00376148181399943
242,30536,No,Northwest Georgia,3429,ZCTA,ZCTA5 30536,6148,433,256,91,4.2,1.4,592,168,9.6,2.6,2544,242,41.4,2.6,1093,209,17.8,3.2,494,144,8,2.3,708,201,11.5,3.2,461,121,7.5,1.9,848,191,13.8,2.9,5300,422,86.2,3.2,1169,235,19,3.6,,,,,1.28359156241014,0.0393231480713302
243,30312,Yes,Atlanta Regional Commission,3328,ZCTA,ZCTA5 30312,16171,648,514,153,3.2,0.9,859,203,5.3,1.2,2514,364,15.5,2.2,2953,387,18.3,2.3,881,245,5.4,1.5,4777,418,29.5,2.3,3673,380,22.7,2.2,1373,254,8.5,1.5,14798,813,91.5,3.4,8450,565,52.3,2.8,,,,,0.25688053312734,0.000845170744880913
244,30008,Yes,Atlanta Regional Commission,3152,ZCTA,ZCTA5 30008,20454,973,2186,428,10.7,2,1992,367,9.7,1.7,5610,653,27.4,2.9,4735,540,23.1,2.4,1333,294,6.5,1.4,3165,407,15.5,1.8,1433,298,7,1.4,4178,564,20.4,2.6,16276,1029,79.6,3.3,4598,505,22.5,2.2,,,,,0.431620413295226,0.00238981656013112
245,39897,No,Southwest Georgia,3883,ZCTA,ZCTA5 39897,2624,327,186,81,7.1,3,275,95,10.5,3.4,1046,183,39.9,4.9,686,162,26.1,5.2,157,75,6,2.8,170,64,6.5,2.3,104,48,4,1.8,461,125,17.6,4.2,2163,268,82.4,14.5,274,80,10.4,2.7,,,,,1.16198708605479,0.0349736463232563
246,30537,No,Georgia Mountains,3430,ZCTA,ZCTA5 30537,1086,189,28,26,2.6,2.4,82,56,7.6,4.9,356,100,32.8,7.2,145,44,13.4,3.3,104,48,9.6,4.1,233,68,21.5,5,138,47,12.7,3.7,110,61,10.1,5.4,976,145,89.9,20.6,371,83,34.2,4.8,,,,,0.69456446502138,0.00518961993944896
247,30313,Yes,Atlanta Regional Commission,3329,ZCTA,ZCTA5 30313,3531,329,55,58,1.6,1.7,196,75,5.6,2,850,176,24.1,4.5,834,192,23.6,5,262,83,7.4,2.2,762,153,21.6,3.8,572,116,16.2,2.9,251,95,7.1,2.6,3280,334,92.9,3.8,1334,192,37.8,4.1,,,,,0.135937303126751,0.000279695892000453
248,30009,Yes,Atlanta Regional Commission,3153,ZCTA,ZCTA5 30009,11083,661,214,140,1.9,1.3,214,124,1.9,1.1,1431,305,12.9,2.6,2259,399,20.4,3.4,768,190,6.9,1.7,3781,438,34.1,3.4,2416,398,21.8,3.3,428,187,3.9,1.7,10655,799,96.1,4.4,6197,591,55.9,4.2,,,,,0.512043003614624,0.00244728467842843
249,30538,No,Georgia Mountains,3431,ZCTA,ZCTA5 30538,1816,376,37,53,2,2.9,200,105,11,5.3,905,234,49.8,7.7,408,145,22.5,6.5,108,69,5.9,3.6,86,64,4.7,3.4,72,65,4,3.5,237,117,13.1,5.9,1579,298,86.9,24.4,158,91,8.7,4.7,,,,,0.563944853599235,0.00653877246328546
